dt,road_id,flow,avg_speed,density,weather
2026-09-01 00:00,R001,144,42.7,0.28,晴
2026-09-01 00:00,R002,150,43.6,0.29,晴
2026-09-01 00:00,R003,117,41.5,0.23,晴
2026-09-01 01:00,R001,142,42.9,0.27,晴
2026-09-01 01:00,R002,158,44.2,0.3,晴
2026-09-01 01:00,R003,98,45.6,0.19,小雨
2026-09-01 02:00,R001,126,44.1,0.24,阴
2026-09-01 02:00,R002,137,47.6,0.26,晴
2026-09-01 02:00,R003,139,41.7,0.27,晴
2026-09-01 03:00,R001,162,44.8,0.31,晴
2026-09-01 03:00,R002,163,41.9,0.31,晴
2026-09-01 03:00,R003,99,44.5,0.19,小雨
2026-09-01 04:00,R001,132,44.3,0.25,阴
2026-09-01 04:00,R002,175,41.2,0.34,小雨
2026-09-01 04:00,R003,98,44.1,0.19,阴
2026-09-01 05:00,R001,154,42.9,0.3,小雨
2026-09-01 05:00,R002,154,43.8,0.3,晴
2026-09-01 05:00,R003,193,35.8,0.37,阴
2026-09-01 06:00,R001,141,46.0,0.27,晴
2026-09-01 06:00,R002,167,42.7,0.32,小雨
2026-09-01 06:00,R003,141,47.9,0.27,小雨
2026-09-01 07:00,R001,464,17.6,0.89,阴
2026-09-01 07:00,R002,417,19.1,0.8,阴
2026-09-01 07:00,R003,410,25.4,0.79,小雨
2026-09-01 08:00,R001,370,23.1,0.71,晴
2026-09-01 08:00,R002,421,20.4,0.81,晴
2026-09-01 08:00,R003,409,21.3,0.79,阴
2026-09-01 09:00,R001,441,17.0,0.85,小雨
2026-09-01 09:00,R002,347,26.1,0.67,小雨
2026-09-01 09:00,R003,393,22.7,0.76,晴
2026-09-01 10:00,R001,148,40.2,0.28,小雨
2026-09-01 10:00,R002,85,45.8,0.16,阴
2026-09-01 10:00,R003,72,54.2,0.14,晴
2026-09-01 11:00,R001,134,43.8,0.26,晴
2026-09-01 11:00,R002,162,40.6,0.31,晴
2026-09-01 11:00,R003,159,39.7,0.31,晴
2026-09-01 12:00,R001,114,47.3,0.22,阴
2026-09-01 12:00,R002,58,49.2,0.11,晴
2026-09-01 12:00,R003,142,42.3,0.27,阴
2026-09-01 13:00,R001,150,39.1,0.29,晴
2026-09-01 13:00,R002,178,41.5,0.34,阴
2026-09-01 13:00,R003,205,38.0,0.39,小雨
2026-09-01 14:00,R001,146,45.2,0.28,晴
2026-09-01 14:00,R002,133,43.9,0.26,小雨
2026-09-01 14:00,R003,135,46.5,0.26,阴
2026-09-01 15:00,R001,160,43.5,0.31,晴
2026-09-01 15:00,R002,91,46.6,0.17,阴
2026-09-01 15:00,R003,191,37.8,0.37,阴
2026-09-01 16:00,R001,229,36.5,0.44,晴
2026-09-01 16:00,R002,151,43.9,0.29,阴
2026-09-01 16:00,R003,163,41.1,0.31,阴
2026-09-01 17:00,R001,458,11.8,0.88,阴
2026-09-01 17:00,R002,421,18.9,0.81,阴
2026-09-01 17:00,R003,439,18.0,0.84,阴
2026-09-01 18:00,R001,445,16.4,0.86,晴
2026-09-01 18:00,R002,472,14.2,0.91,小雨
2026-09-01 18:00,R003,429,20.9,0.82,小雨
2026-09-01 19:00,R001,397,20.2,0.76,阴
2026-09-01 19:00,R002,394,22.6,0.76,晴
2026-09-01 19:00,R003,395,24.4,0.76,晴
2026-09-01 20:00,R001,146,42.7,0.28,小雨
2026-09-01 20:00,R002,132,42.9,0.25,晴
2026-09-01 20:00,R003,158,41.2,0.3,晴
2026-09-01 21:00,R001,142,45.4,0.27,阴
2026-09-01 21:00,R002,205,41.4,0.39,阴
2026-09-01 21:00,R003,126,43.8,0.24,阴
2026-09-01 22:00,R001,158,40.6,0.3,晴
2026-09-01 22:00,R002,132,42.4,0.25,阴
2026-09-01 22:00,R003,94,47.8,0.18,小雨
2026-09-01 23:00,R001,121,42.5,0.23,晴
2026-09-01 23:00,R002,123,45.8,0.24,晴
2026-09-01 23:00,R003,150,43.8,0.29,阴
